,report_date,report_content,day_of_week,post_date,post_id,post_title,wetsuit_adviezen_str,wetsuit_adviezen,post_url
5,,"Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.","wetsuit-adviezen,",2021-01-05,post-33042,"Surfweer Dinsdag 5 januari 2021

","Wetsuit-adviezen, water 6 gr C
Dinsdag: 6/5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Woensdag: Nieuw 5/4mm wetsuit, schoen 6mm en hand 4mm, cap 2mm
Donderdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm
Weekend: Solide 5/4mm  schoen 6, hand 3mm, cap 2.","wetsuit-adviezen,",http://surfweer.nl/surf/surfweer-dinsdag-5-januari-2021/
0,2021-12-29 00:00:00.000000,"Dinsdag 29 december
De deining uit het noorden is gearriveerd en is met 1 meter hoogte meer dan voldoende voor de wadden en later ook op andere plaatsen (vooral in het noordwesten). Met hoogwater midden op de dag kunnen er best leuke golven staan. Een addertje onder het gras is echter de wind die ergens in de middag zal opsteken. Het is dus meer de moeite eerder op de dag, ook al worden de golven hoger met vloed. Alleen in Zuid-Holland is het wel beter om even te wachten tot hoogwater, omdat de wind eerst nog zuidwest is. Deze is in België al eerder op de dag vrij krachtig met hier en daar al een wat rommelige onshore windgolf. Ook in Zeeland zal de combinatie van wat wind en golven uit noord later op de dag een surfbare sessie opleveren. ",dinsdag,2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm","5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm",http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
1,2021-12-30 00:00:00.000000,"Woensdag 30 december
Woensdag wind met hogere golven. Eerst veel wind in het zuiden incl zuidelijk Zuid-Holland. Pas later op de middag de echt harde onshore in Noord-Holland. In Belgie is het dan al afgenomen en kan er tot donker heerlijk gesurft worden om de 1m swell uit WNW en een beetje wind uit WZW. In Zeeland lukt dat ook, maar in Zuid-Holland blijft het tot donker nog wel vrij krachtig (5 bft) waaien. Op zich geldt daar ook hoe later hoe beter, terwijl de surf in N-H juist eerder op de dag wat meer kans op cleane momenten geeft. Met de tussen 15:00 en 16:00 uur verwachte windkracht 6 en windstoten tot 80 km/u is het in de de omgeving van Zandvoort niet echt heel fijn meer. Ook in de kop van N-H een 5 of 6 bft later op de middag. De wadden blijven wat in de luwte midden op de dag, maar echt clean zal het niet worden. Wel lekker hoog! ",woensdag,2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm","Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm",http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
2,2021-12-31 00:00:00.000000,"Donderdag 31 december
Eindelijk offshore en dat al vanaf de vroege ochtend. Op de wadden is dat het moment om te gaan en 1,5m hoge golven te scoren. Daar is het namelijk nog hoogwater tot mid-tij eind van de ochtend. Er staat wat stroming met de golfrichting mee naar het zuiden, maar eigenlijk is dat niet echt een probleem. Die stroming stopt al snel wanneer het eenmaal laagwater is. Vooral in Zuid- en Noord-Holland is het dus een prima optie om even te wachten tot eind van de ochtend met iets beter werkende buitenbanken. Uiteraard niet in het zuidelijke gedeelte en in Zeeland. Daar is hoogwater nodig en gelukkig komt deze net op de valreep nog op tijd voor het donker wordt. Dit moment is dan ook weer prima meer noordelijk, want ook daar komt de push van het tij nog voor donker! En de wind blijft de hele dag offshore. Alleen richting het kanaal in de buur van de Frans/Belgische grens zou er een lichte noordelijke wind kunnen opsteken eind van de middag. Eerder op de dag in de ochtend is een beetje zuidwest wind in het uiterste noorden van Noord-Holland ook niet uit te sluiten. Maar over het algemeen hele cleane condities en dus gewoon de hele dag goed te surfen!",donderdag,2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm","Een 5/4mm  schoen 6mm, hand/cap 3mm",http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
3,2021-01-01 00:00:00.000000,"Vrijdag 1 januari
De swell van donderdag dooft uit en wordt in het noorden vervangen door eentje die verder weg uit de Noordzee komt. Deze dag is dus wel meer echt een kwestie van heel vroeg gaan of wachten tot later op de middag wanneer de toename van de swell gunstig is met het opkomende getij. In het noorden staat er de hele dag wel een heuphoog iets dat met een dikke fish of longboard ook rond de middaguren goed te doen is. Waarschijnlijk vallen Zeeland en België net buiten de bandbreedte van de nieuwe swell en is het daar nog een dagje wachten.",vrijdag,2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm","(6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm",http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
4,2021-01-02 00:00:00.000000,"Zaterdag 2 januari
De hele dag surfen zonder wind, hoe is het mogelijk! Uiteraard geldt weer hetzelfde voor het zuiden, waar het wachten op hoger water is. Deze komt door de nabijheid van het kanaal en de Engelse kust nog wel goed op tijd voor het helemaal donker is. Dat kan van het midden en noorden niet meer gezegd worden. Vanaf zo’n beetje de moerdijk en alles ten noorden daarvan maakt het ook eigenlijk niet uit dat het hoge water niet op tijd arriveert. Met laagwater doen de meeste spots het meer dan voldoende. ",zaterdag,2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm",zaterdag,http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
5,2021-01-03 00:00:00.000000,"Zondag 3 januari
Nog zo’n dag, alleen de noordoostelijke wind steekt op met meer choppy condities in het zuiden. Uiteraard wordt het ook kouder met deze windrichting. Check je gear en voorkom onderkoeling! Vooral een oude leash rond een (te) dik wetsuit wil nog wel eens losschieten. Als zomersurfer zonder problemen de winter doorsurfen lijkt minder vanzelfsprekend dan het is. Check de surf safety tips op surfweer.nl/surf/safety en zorg voor goed warm neopreen!",zondag,2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm",zondag,http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
6,,"Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm","wetsuit-adviezen,",2020-12-29,post-33031,"Surfweer dinsdag 29 december 2020

","Wetsuit-adviezen, water 8gr C
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm
Woensdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Donderdag: Een 5/4mm  schoen 6mm, hand/cap 3mm
Vrijdag: (6)5/4mm wetsuit, hand 4mm, schoen 6 a 7mm, cap 3mm","wetsuit-adviezen,",http://surfweer.nl/surf/surfweer-dinsdag-29-december-2020/
0,2021-12-18 00:00:00.000000,"Vrijdag 18 december
De metingen op de boeien geven goed stijgende waardes op met een steeds meer ruimende richting zuidwest, terwijl de wind uit zuid komt en naar ZZO krimpt. Die gaat dan ook nog wat afnemen in kracht naarmate de middag vordert. Geen slechte vooruitzichten, ware het niet dat het tij met opkomend wel behoorlijk wat stroming gaat geven. Een surfje doen op het bedreigde land van de Maasvlakte zit er dus niet in! Meer gunstig zijn de condities in het noordelijke deel van Zuid-Holland en uiteraard Noord-Holland. Daar blijft het wat langer eb, maar tegen dat het donker is stroomt het ook flink hard wind mee. Op zich niet zo’n heel groot probleem als er maar geen obstakels in de weg liggen (zoals strekdammen of palen). En uiteraard als je bereid bent om het surfen te combineren met een flinke wandeling. ",vrijdag,2020-12-18,post-33019,"Surfweer vrijdag 18 december 2020

","Wetsuit-adviezen, water 8gr C
Zaterdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Zondag: (6)5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Maandag: Een 5/4mm  schoen 5mm, hand/cap 2mm
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm",vrijdag,http://surfweer.nl/surf/surfweer-vrijdag-18-december-2020/
1,2021-12-19 00:00:00.000000,"Zaterdag 19 december
Een koufront splitst de dag in twee delen. Voor het front is de wind in de ochtend nog zuid en vrij aflandig. Golven hebben dan iets moeite om naar de kust te komen, maar omdat het de hele nacht is blijven doorwaaien, staan die er wel. Het tij is nog wat hoogwater en zakt langzaam terug, wat in principe dus geen slechte combinatie is. Ook is het nog even droog, omdat het front pas tegen het einde van de ochtend arriveert. De wind neemt dan tijdelijk toe en draait langzaam naar ZZW. Daarna neemt de wind iets af en blijft het tij nog even mooi laagwater. Ook in Zeeland druppelt er wat swell binnen vanuit het kanaal. Met hoogwater is die later op de middag echter niet meer te surfen. In België zou dat normaal gesproken nog wel gaan, ware het niet dat het daar helemaal flat blijft. De windstroom is en blijft wat dat betreft toch iets te zuidelijk. ",zaterdag,2020-12-18,post-33019,"Surfweer vrijdag 18 december 2020

","Wetsuit-adviezen, water 8gr C
Zaterdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Zondag: (6)5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Maandag: Een 5/4mm  schoen 5mm, hand/cap 2mm
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm","Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm",http://surfweer.nl/surf/surfweer-vrijdag-18-december-2020/
2,2021-12-20 00:00:00.000000,"Zondag 20 december
Op zondag een depressie dichterbij met een meer zuidwestelijk sideshore richting voor Zeeland en België. Af en toe harde wind, maar ook veel variaties omdat er in de koudere lucht wat trogvorming ontstaat waar de wind rond omheen plotsklaps weg kan gaan vallen. Die momenten zijn dus het meest ideaal voor even wat magie tijdens een surfsessie. In Zeeland is begin van de middag nog goed, maar daarna te veel vloedstroom. In België kan het juist de moeite zijn om te wachten op die vloedstroom, omdat er dan meer hoogte binnenkomt. Uiteraard kan er ook al eerde gesurft worden. In ieder geval fijn dat er voor de zuiderburen ook weer wat op het programma staat! ",zondag,2020-12-18,post-33019,"Surfweer vrijdag 18 december 2020

","Wetsuit-adviezen, water 8gr C
Zaterdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Zondag: (6)5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Maandag: Een 5/4mm  schoen 5mm, hand/cap 2mm
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm","(6)5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm",http://surfweer.nl/surf/surfweer-vrijdag-18-december-2020/
3,2021-12-21 00:00:00.000000,"Maandag 21 december
Er komt nog veel meer op het programma te staan in de nieuwe week. Maandagochtend is de wind nog heel even vrij krachtig zuid, maar neemt al heel snel toe tot stormachtig. De oorzaak is een snel uitdiepende randstoring vanuit de richting van het kanaal. Die zijn vaak wat lastig te voorspellen, maar het meest waarschijnlijke is dat de wind na de vele regen naar west ruimt en bijna stormachtig wordt. Heel veel valt er dan niet meer te surfen met uitzondering in de zuidelijke regio’s. ",maandag,2020-12-18,post-33019,"Surfweer vrijdag 18 december 2020

","Wetsuit-adviezen, water 8gr C
Zaterdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Zondag: (6)5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Maandag: Een 5/4mm  schoen 5mm, hand/cap 2mm
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm","Een 5/4mm  schoen 5mm, hand/cap 2mm",http://surfweer.nl/surf/surfweer-vrijdag-18-december-2020/
4,2021-12-22 00:00:00.000000,"Dinsdag 22 december
De stilte na de storm zou wel eens op dinsdag een feit kunnen zijn. Zeker in het uiterste zuiden, waar het blijft regenen onder invloed van een slepend front. In het noorden blijft het iets aanlandig, maar op zich kan dat geen kwaad. De swell is niet te hoog, maar hoog genoeg om te kunnen surfen bij zowel laag- als hoogwater. Alleen in België is het hogere water van de ochtend een must. ",dinsdag,2020-12-18,post-33019,"Surfweer vrijdag 18 december 2020

","Wetsuit-adviezen, water 8gr C
Zaterdag: Een 5/4mm wetsuit met schoen 5mm en hand 3mm, cap 2mm
Zondag: (6)5/4mm wetsuit, hand 4mm, schoen 7mm, cap 3mm
Maandag: Een 5/4mm  schoen 5mm, hand/cap 2mm
Dinsdag: 5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm","5/4mm wetsuit, hand 3mm, schoen 5mm, cap 2mm",http://surfweer.nl/surf/surfweer-vrijdag-18-december-2020/
